,matchDate,matchround,teamh,teama,goalsh,goalsa,year,country,division,female
0,1960-07-31,1,Stavanger,Vålerenga,1,2,1961,Norway,1,0
1,1960-07-31,1,Strømmen,Viking,0,4,1961,Norway,1,0
2,1960-07-31,1,Lisleby,Odd,2,2,1961,Norway,1,0
3,1960-07-31,1,Larvik Turn,Fredrikstad,2,2,1961,Norway,1,0
4,1960-08-07,2,Fredrikstad,Strømmen,3,0,1961,Norway,1,0
5,1960-08-07,2,Vålerenga,Lisleby,1,2,1961,Norway,1,0
6,1960-08-07,2,Odd,Stavanger,1,1,1961,Norway,1,0
7,1960-08-07,2,Viking,Larvik Turn,1,1,1961,Norway,1,0
8,1960-08-17,3,Stavanger,Viking,0,1,1961,Norway,1,0
9,1960-08-17,3,Larvik Turn,Odd,2,1,1961,Norway,1,0
10,1960-08-17,3,Strømmen,Vålerenga,0,1,1961,Norway,1,0
11,1960-08-17,3,Lisleby,Fredrikstad,1,4,1961,Norway,1,0
12,1960-08-21,4,Odd,Vålerenga,0,0,1961,Norway,1,0
13,1960-08-21,4,Viking,Lisleby,3,1,1961,Norway,1,0
14,1960-08-21,4,Strømmen,Larvik Turn,2,2,1961,Norway,1,0
15,1960-08-21,4,Fredrikstad,Stavanger,5,1,1961,Norway,1,0
16,1960-09-11,5,Viking,Odd,2,0,1961,Norway,1,0
17,1960-09-11,5,Lisleby,Strømmen,1,1,1961,Norway,1,0
18,1960-09-11,5,Larvik Turn,Stavanger,0,0,1961,Norway,1,0
19,1960-09-11,5,Vålerenga,Fredrikstad,4,2,1961,Norway,1,0
20,1960-10-02,6,Larvik Turn,Vålerenga,1,2,1961,Norway,1,0
21,1960-10-02,6,Stavanger,Lisleby,2,1,1961,Norway,1,0
22,1960-10-02,6,Fredrikstad,Viking,4,1,1961,Norway,1,0
23,1960-10-09,7,Stavanger,Strømmen,0,2,1961,Norway,1,0
24,1960-10-09,7,Vålerenga,Viking,3,0,1961,Norway,1,0
25,1960-10-09,7,Lisleby,Larvik Turn,1,3,1961,Norway,1,0
26,1960-10-16,8,Vålerenga,Stavanger,0,3,1961,Norway,1,0
27,1960-10-16,8,Fredrikstad,Larvik Turn,1,2,1961,Norway,1,0
28,1960-10-16,8,Odd,Lisleby,1,1,1961,Norway,1,0
29,1960-10-16,8,Viking,Strømmen,1,1,1961,Norway,1,0
30,1961-04-23,7,Odd,Fredrikstad,3,4,1961,Norway,1,0
31,1961-04-30,9,Lisleby,Vålerenga,1,0,1961,Norway,1,0
32,1961-04-30,9,Stavanger,Odd,2,4,1961,Norway,1,0
33,1961-04-30,9,Strømmen,Fredrikstad,0,1,1961,Norway,1,0
34,1961-04-30,9,Larvik Turn,Viking,4,2,1961,Norway,1,0
35,1961-05-07,10,Viking,Stavanger,3,0,1961,Norway,1,0
36,1961-05-07,10,Vålerenga,Strømmen,0,1,1961,Norway,1,0
37,1961-05-07,10,Odd,Larvik Turn,5,3,1961,Norway,1,0
38,1961-05-07,10,Fredrikstad,Lisleby,5,2,1961,Norway,1,0
39,1961-05-11,6,Strømmen,Odd,5,2,1961,Norway,1,0
40,1961-05-14,11,Lisleby,Viking,1,0,1961,Norway,1,0
41,1961-05-14,11,Vålerenga,Odd,1,2,1961,Norway,1,0
42,1961-05-14,11,Larvik Turn,Strømmen,1,1,1961,Norway,1,0
43,1961-05-14,11,Stavanger,Fredrikstad,0,0,1961,Norway,1,0
44,1961-05-28,12,Strømmen,Stavanger,1,1,1961,Norway,1,0
45,1961-05-28,12,Viking,Vålerenga,1,1,1961,Norway,1,0
46,1961-05-28,12,Larvik Turn,Lisleby,0,2,1961,Norway,1,0
47,1961-05-28,12,Fredrikstad,Odd,4,1,1961,Norway,1,0
48,1961-06-04,13,Stavanger,Larvik Turn,2,2,1961,Norway,1,0
49,1961-06-04,13,Strømmen,Lisleby,2,3,1961,Norway,1,0
50,1961-06-04,13,Odd,Viking,2,2,1961,Norway,1,0
51,1961-06-04,13,Fredrikstad,Vålerenga,2,1,1961,Norway,1,0
52,1961-06-11,14,Viking,Fredrikstad,3,6,1961,Norway,1,0
53,1961-06-11,14,Vålerenga,Larvik Turn,8,1,1961,Norway,1,0
54,1961-06-11,14,Odd,Strømmen,2,0,1961,Norway,1,0
55,1961-06-11,14,Lisleby,Stavanger,1,2,1961,Norway,1,0
