,matchDate,matchround,teamh,teama,goalsh,goalsa,year,country,division,female
0,1982-04-25,1,Bryne,Rosenborg,1,0,1982,Norway,1,0
1,1982-04-25,1,Fredrikstad,Viking,2,0,1982,Norway,1,0
2,1982-04-25,1,Ham Kam,Moss,2,1,1982,Norway,1,0
3,1982-04-25,1,Lillestrøm,Mjøndalen,2,1,1982,Norway,1,0
4,1982-04-25,1,Sogndal,Molde,1,1,1982,Norway,1,0
5,1982-04-25,1,Start,Vålerenga,0,2,1982,Norway,1,0
6,1982-05-02,2,Mjøndalen,Ham Kam,1,0,1982,Norway,1,0
7,1982-05-02,2,Molde,Lillestrøm,2,1,1982,Norway,1,0
8,1982-05-02,2,Moss,Bryne,1,1,1982,Norway,1,0
9,1982-05-03,2,Rosenborg,Fredrikstad,2,2,1982,Norway,1,0
10,1982-05-03,2,Viking,Start,3,1,1982,Norway,1,0
11,1982-05-03,2,Vålerenga,Sogndal,5,2,1982,Norway,1,0
12,1982-05-09,3,Bryne,Mjøndalen,0,0,1982,Norway,1,0
13,1982-05-09,3,Ham Kam,Molde,2,1,1982,Norway,1,0
14,1982-05-09,3,Lillestrøm,Vålerenga,0,2,1982,Norway,1,0
15,1982-05-09,3,Moss,Rosenborg,2,2,1982,Norway,1,0
16,1982-05-09,3,Sogndal,Viking,0,1,1982,Norway,1,0
17,1982-05-09,3,Start,Fredrikstad,1,0,1982,Norway,1,0
18,1982-05-16,4,Fredrikstad,Sogndal,2,1,1982,Norway,1,0
19,1982-05-16,4,Mjøndalen,Moss,1,0,1982,Norway,1,0
20,1982-05-16,4,Molde,Bryne,0,1,1982,Norway,1,0
21,1982-05-16,4,Rosenborg,Start,1,1,1982,Norway,1,0
22,1982-05-16,4,Viking,Lillestrøm,4,1,1982,Norway,1,0
23,1982-05-16,4,Vålerenga,Ham Kam,4,2,1982,Norway,1,0
24,1982-05-20,5,Bryne,Viking,1,1,1982,Norway,1,0
25,1982-05-20,5,Ham Kam,Fredrikstad,3,4,1982,Norway,1,0
26,1982-05-20,5,Lillestrøm,Start,0,1,1982,Norway,1,0
27,1982-05-20,5,Mjøndalen,Molde,4,1,1982,Norway,1,0
28,1982-05-20,5,Moss,Vålerenga,3,2,1982,Norway,1,0
29,1982-05-20,5,Sogndal,Rosenborg,3,3,1982,Norway,1,0
30,1982-05-24,6,Fredrikstad,Lillestrøm,1,2,1982,Norway,1,0
31,1982-05-24,6,Molde,Moss,1,0,1982,Norway,1,0
32,1982-05-24,6,Rosenborg,Mjøndalen,3,1,1982,Norway,1,0
33,1982-05-24,6,Start,Sogndal,1,0,1982,Norway,1,0
34,1982-05-24,6,Viking,Ham Kam,1,2,1982,Norway,1,0
35,1982-05-24,6,Vålerenga,Bryne,1,2,1982,Norway,1,0
36,1982-05-31,7,Bryne,Fredrikstad,2,0,1982,Norway,1,0
37,1982-05-31,7,Ham Kam,Start,5,3,1982,Norway,1,0
38,1982-05-31,7,Lillestrøm,Sogndal,0,1,1982,Norway,1,0
39,1982-05-31,7,Mjøndalen,Vålerenga,1,0,1982,Norway,1,0
40,1982-05-31,7,Molde,Rosenborg,1,1,1982,Norway,1,0
41,1982-05-31,7,Moss,Viking,0,1,1982,Norway,1,0
42,1982-06-06,8,Sogndal,Ham Kam,1,2,1982,Norway,1,0
43,1982-06-06,8,Start,Bryne,2,1,1982,Norway,1,0
44,1982-06-07,8,Fredrikstad,Moss,1,1,1982,Norway,1,0
45,1982-06-07,8,Rosenborg,Lillestrøm,0,2,1982,Norway,1,0
46,1982-06-07,8,Viking,Mjøndalen,2,2,1982,Norway,1,0
47,1982-06-07,8,Vålerenga,Molde,1,2,1982,Norway,1,0
48,1982-06-13,9,Bryne,Sogndal,1,0,1982,Norway,1,0
49,1982-06-13,9,Lillestrøm,Ham Kam,1,0,1982,Norway,1,0
