,matchDate,matchround,teamh,teama,goalsh,goalsa,year,country,division,female
0,1973-05-01,1,Brann,Rosenborg,0,1,1973,Norway,1,0
1,1973-05-01,1,Fredrikstad,Viking,0,2,1973,Norway,1,0
2,1973-05-01,1,Frigg,Raufoss,1,2,1973,Norway,1,0
3,1973-05-01,1,Ham Kam,Lyn,1,1,1973,Norway,1,0
4,1973-05-01,1,Mjøndalen,Strømsgodset,0,3,1973,Norway,1,0
5,1973-05-01,1,Start,Skeid,1,0,1973,Norway,1,0
6,1973-05-03,2,Skeid,Brann,3,0,1973,Norway,1,0
7,1973-05-06,2,Lyn,Mjøndalen,0,1,1973,Norway,1,0
8,1973-05-06,2,Raufoss,Start,0,2,1973,Norway,1,0
9,1973-05-06,2,Rosenborg,Fredrikstad,1,0,1973,Norway,1,0
10,1973-05-06,2,Strømsgodset,Frigg,1,1,1973,Norway,1,0
11,1973-05-06,2,Viking,Ham Kam,2,1,1973,Norway,1,0
12,1973-05-13,3,Ham Kam,Fredrikstad,1,1,1973,Norway,1,0
13,1973-05-13,3,Mjøndalen,Viking,0,1,1973,Norway,1,0
14,1973-05-13,3,Skeid,Rosenborg,0,0,1973,Norway,1,0
15,1973-05-13,3,Start,Strømsgodset,1,1,1973,Norway,1,0
16,1973-05-14,3,Brann,Raufoss,0,1,1973,Norway,1,0
17,1973-05-14,3,Frigg,Lyn,2,1,1973,Norway,1,0
18,1973-05-20,4,Lyn,Start,1,0,1973,Norway,1,0
19,1973-05-20,4,Raufoss,Skeid,2,2,1973,Norway,1,0
20,1973-05-20,4,Rosenborg,Ham Kam,2,0,1973,Norway,1,0
21,1973-05-20,4,Strømsgodset,Brann,1,0,1973,Norway,1,0
22,1973-05-20,4,Viking,Frigg,2,1,1973,Norway,1,0
23,1973-05-21,4,Fredrikstad,Mjøndalen,0,0,1973,Norway,1,0
24,1973-05-23,5,Brann,Lyn,5,2,1973,Norway,1,0
25,1973-05-23,5,Raufoss,Rosenborg,0,2,1973,Norway,1,0
